municipality,eur_m2,period,source
Aignay-le-Duc,7.19,2025,Carte des loyers
Aigne,8.03,2025,Carte des loyers
Aignes,9.4,2025,Carte des loyers
Aigneville,8.3,2025,Carte des loyers
Aigny,8.9,2025,Carte des loyers
Aigné,9.39,2025,Carte des loyers
Aigondigné,8.59,2025,Carte des loyers
Aigre,7.06,2025,Carte des loyers
Aigrefeuille,13.88,2025,Carte des loyers
Aigrefeuille-d'Aunis,12.41,2025,Carte des loyers
Aigrefeuille-sur-Maine,11.21,2025,Carte des loyers
Aigremont,19.85,2025,Carte des loyers
Aiguebelette-le-Lac,12.27,2025,Carte des loyers
Aiguefonde,7.95,2025,Carte des loyers
Aigueperse,7.86,2025,Carte des loyers
Aigues-Juntes,7.85,2025,Carte des loyers
Aigues-Mortes,13.6,2025,Carte des loyers
Aigues-Vives,8.03,2025,Carte des loyers
Aiguilhe,8.36,2025,Carte des loyers
Aiguilles,9.51,2025,Carte des loyers
Aiguillon,7.81,2025,Carte des loyers
Aiguines,9.74,2025,Carte des loyers
Aigurande,6.3,2025,Carte des loyers
Aiguèze,10.5,2025,Carte des loyers
Ailhon,8.55,2025,Carte des loyers
Aillant-sur-Milleron,8.1,2025,Carte des loyers
Aillas,8.76,2025,Carte des loyers
Ailleux,7.33,2025,Carte des loyers
Aillevans,7.6,2025,Carte des loyers
Ailleville,7.2,2025,Carte des loyers
Aillevillers-et-Lyaumont,8.45,2025,Carte des loyers
Aillianville,6.33,2025,Carte des loyers
Aillières-Beauvoir,8.07,2025,Carte des loyers
Aillon-le-Jeune,13.03,2025,Carte des loyers
Aillon-le-Vieux,13.03,2025,Carte des loyers
Ailloncourt,7.91,2025,Carte des loyers
Ailly,10.93,2025,Carte des loyers
Ailly-le-Haut-Clocher,8.85,2025,Carte des loyers
Ailly-sur-Noye,9.39,2025,Carte des loyers
Ailly-sur-Somme,9.04,2025,Carte des loyers
Aimargues,12.2,2025,Carte des loyers
Aime-la-Plagne,11.35,2025,Carte des loyers
Ainay-le-Château,6.34,2025,Carte des loyers
Ainay-le-Vieil,6.75,2025,Carte des loyers
Aincille,9.5,2025,Carte des loyers
Aincourt,11.62,2025,Carte des loyers
Aincreville,6.7,2025,Carte des loyers
Aingeray,9.07,2025,Carte des loyers
Aingeville,6.84,2025,Carte des loyers
Aingoulaincourt,6.09,2025,Carte des loyers
Ainharp,8.5,2025,Carte des loyers
Ainhice-Mongelos,9.5,2025,Carte des loyers
Ainhoa,14.16,2025,Carte des loyers
Ainvelle,6.19,2025,Carte des loyers
Airaines,8.04,2025,Carte des loyers
Aire,7.81,2025,Carte des loyers
Aire-sur-l'Adour,8.11,2025,Carte des loyers
Aire-sur-la-Lys,7.93,2025,Carte des loyers
Airel,7.32,2025,Carte des loyers
Airion,11.23,2025,Carte des loyers
Airon-Notre-Dame,10.61,2025,Carte des loyers
Airon-Saint-Vaast,10.61,2025,Carte des loyers
Airoux,8.09,2025,Carte des loyers
Airvault,7.01,2025,Carte des loyers
Aiserey,9.86,2025,Carte des loyers
Aisey-et-Richecourt,6.45,2025,Carte des loyers
Aisey-sur-Seine,7.06,2025,Carte des loyers
Aisonville-et-Bernoville,7.17,2025,Carte des loyers
Aisy-sous-Thil,8.05,2025,Carte des loyers
Aisy-sur-Armançon,7.16,2025,Carte des loyers
Aiti,9.72,2025,Carte des loyers
Aiton,11.35,2025,Carte des loyers
Aix,6.86,2025,Carte des loyers
Aix-Noulette,8.46,2025,Carte des loyers
Aix-Villemaur-Pâlis,7.41,2025,Carte des loyers
Aix-en-Ergny,7.77,2025,Carte des loyers
Aix-en-Issart,7.77,2025,Carte des loyers
Aix-en-Provence,19.67,2025,Carte des loyers
Aix-en-Pévèle,12.65,2025,Carte des loyers
Aix-la-Fayette,7.44,2025,Carte des loyers
Aix-les-Bains,16.29,2025,Carte des loyers
Aixe-sur-Vienne,9.72,2025,Carte des loyers
Aizac,6.79,2025,Carte des loyers
Aizanville,7.2,2025,Carte des loyers
Aize,6.28,2025,Carte des loyers
Aizecourt-le-Bas,7.3,2025,Carte des loyers
Aizecourt-le-Haut,7.72,2025,Carte des loyers
Aizelles,8.02,2025,Carte des loyers
Aizenay,9.49,2025,Carte des loyers
Aizier,8.66,2025,Carte des loyers
Aizy-Jouy,9.01,2025,Carte des loyers
Ajac,7.85,2025,Carte des loyers
Ajaccio,16.01,2025,Carte des loyers
Ajain,6.64,2025,Carte des loyers
Ajat,8.39,2025,Carte des loyers
Ajoncourt,8.36,2025,Carte des loyers
Ajoux,8.92,2025,Carte des loyers
Alaigne,7.79,2025,Carte des loyers
Alaincourt,7.55,2025,Carte des loyers
Alaincourt-la-Côte,8.36,2025,Carte des loyers
Alairac,7.85,2025,Carte des loyers
Alan,7.07,2025,Carte des loyers
Alando,8.8,2025,Carte des loyers
Alata,14.63,2025,Carte des loyers
Alba-la-Romaine,9.69,2025,Carte des loyers
Alban,8.32,2025,Carte des loyers
Albaret-Sainte-Marie,7.61,2025,Carte des loyers
Albaret-le-Comtal,7.0,2025,Carte des loyers
Albas,8.13,2025,Carte des loyers
Albefeuille-Lagarde,10.17,2025,Carte des loyers
Albepierre-Bredons,6.9,2025,Carte des loyers
Albert,8.32,2025,Carte des loyers
Albertacce,11.53,2025,Carte des loyers
Albertville,14.68,2025,Carte des loyers
Albestroff,8.68,2025,Carte des loyers
Albi,9.34,2025,Carte des loyers
Albiac,8.45,2025,Carte des loyers
Albias,9.11,2025,Carte des loyers
Albiez-Montrond,9.51,2025,Carte des loyers
Albiez-le-Jeune,9.51,2025,Carte des loyers
Albignac,8.05,2025,Carte des loyers
Albigny-sur-Saône,12.72,2025,Carte des loyers
Albine,8.35,2025,Carte des loyers
Albitreccia,14.63,2025,Carte des loyers
Albières,6.04,2025,Carte des loyers
Albiès,8.48,2025,Carte des loyers
Albon,9.59,2025,Carte des loyers
Albon-d'Ardèche,6.79,2025,Carte des loyers
Alboussière,7.83,2025,Carte des loyers
Albussac,7.39,2025,Carte des loyers
Alby-sur-Chéran,14.38,2025,Carte des loyers
Albé,11.82,2025,Carte des loyers
Aldudes,9.5,2025,Carte des loyers
Alembon,9.06,2025,Carte des loyers
Alençon,8.43,2025,Carte des loyers
Alet-les-Bains,8.43,2025,Carte des loyers
Alette,7.77,2025,Carte des loyers
Aleu,7.74,2025,Carte des loyers
Alex,14.46,2025,Carte des loyers
Alexain,7.08,2025,Carte des loyers
Aleyrac,10.08,2025,Carte des loyers
Alfortville,20.22,2025,Carte des loyers
Algajola,12.38,2025,Carte des loyers
Algans,9.31,2025,Carte des loyers
Algolsheim,12.48,2025,Carte des loyers
Algrange,11.91,2025,Carte des loyers
Alignan-du-Vent,9.57,2025,Carte des loyers
Alincourt,7.81,2025,Carte des loyers
Alincthun,9.06,2025,Carte des loyers
Alise-Sainte-Reine,8.05,2025,Carte des loyers
Alissas,9.09,2025,Carte des loyers
Alix,12.97,2025,Carte des loyers
Alixan,10.38,2025,Carte des loyers
Alizay,11.31,2025,Carte des loyers
Alièze,8.56,2025,Carte des loyers
Allain,8.64,2025,Carte des loyers
Allaines,7.72,2025,Carte des loyers
Allainville,10.59,2025,Carte des loyers
Allaire,9.01,2025,Carte des loyers
Allamont,9.43,2025,Carte des loyers
Allamps,9.57,2025,Carte des loyers
Allan,10.08,2025,Carte des loyers
Allanche,7.1,2025,Carte des loyers
Alland'Huy-et-Sausseuil,5.75,2025,Carte des loyers
Allarmont,7.4,2025,Carte des loyers
Allas-Bocage,7.54,2025,Carte des loyers
Allas-Champagne,7.54,2025,Carte des loyers
Allas-les-Mines,9.19,2025,Carte des loyers
Allassac,8.97,2025,Carte des loyers
Allauch,17.05,2025,Carte des loyers
Alleins,11.97,2025,Carte des loyers
Allemagne-en-Provence,9.74,2025,Carte des loyers
Allemanche-Launay-et-Soyer,6.64,2025,Carte des loyers
Allemans,9.16,2025,Carte des loyers
Allemans-du-Dropt,8.36,2025,Carte des loyers
Allemant,8.19,2025,Carte des loyers
Allemond,10.85,2025,Carte des loyers
Allenay,8.11,2025,Carte des loyers
Allenc,6.81,2025,Carte des loyers
Allenjoie,10.91,2025,Carte des loyers
Allennes-les-Marais,11.38,2025,Carte des loyers
Allerey,7.23,2025,Carte des loyers
Allerey-sur-Saône,9.14,2025,Carte des loyers
Allery,7.68,2025,Carte des loyers
Alles-sur-Dordogne,9.19,2025,Carte des loyers
Alleuze,7.0,2025,Carte des loyers
Allevard,11.35,2025,Carte des loyers
Allex,10.1,2025,Carte des loyers
Alleyrac,6.22,2025,Carte des loyers
Alleyras,7.79,2025,Carte des loyers
Alleyrat,6.49,2025,Carte des loyers
Allez-et-Cazeneuve,8.67,2025,Carte des loyers
Alliancelles,6.16,2025,Carte des loyers
Alliat,8.48,2025,Carte des loyers
Allibaudières,8.46,2025,Carte des loyers
Allichamps,7.83,2025,Carte des loyers
Allier,9.74,2025,Carte des loyers
Alligny-Cosne,6.92,2025,Carte des loyers
Alligny-en-Morvan,7.23,2025,Carte des loyers
Allineuc,7.86,2025,Carte des loyers
Allinges,19.74,2025,Carte des loyers
Allières,7.85,2025,Carte des loyers
Allogny,7.84,2025,Carte des loyers
Alloinay,7.53,2025,Carte des loyers
Allondans,9.82,2025,Carte des loyers
Allondaz,14.35,2025,Carte des loyers
Allondrelle-la-Malmaison,10.33,2025,Carte des loyers
Allonne,6.68,2025,Carte des loyers
Allonnes,9.8,2025,Carte des loyers
Allons,8.34,2025,Carte des loyers
