country,lat,lon,name
ES,28.0311,-16.5706,Playa El Horno
ES,28.0311,-16.5564,La Tejita
ES,28.0318,-15.3961,Playa de Bocabarranco
ES,28.0347,-17.1834,Playa de Tapahuga
ES,28.0357,-17.2731,Playa La Cantera
ES,28.0367,-16.5428,Playa de Montaña Roja
ES,28.0375,-17.1805,Playa del Medio
ES,28.0387,-17.1771,Playa de Chinguarime
ES,28.0394,-17.1745,
ES,28.0411,-16.5417,Playa Leocadio Machado
ES,28.0413,-16.7094,Playa del Callao
ES,28.0427,-17.1675,Playa de Suárez
ES,28.0427,-16.5407,Playa del Médano
ES,28.0439,-16.5389,Playa de El Médano
ES,28.0442,-16.5364,Playa Chica
ES,28.045,-17.1627,Playa de Cascante
ES,28.0453,-16.5336,Playa de El Cabezo
ES,28.0466,-17.2911,Playa de la Negra
ES,28.0467,-16.7122,Los Tarajales
ES,28.0474,-16.5332,Playa El Salado
ES,28.0481,-17.1605,
ES,28.0489,-17.1594,Playa del Guincho
ES,28.0493,-17.2975,Playa de la Rajita
ES,28.0501,-16.5307,Playa de la Jaquita
ES,28.0502,-16.7176,Playa de Los Cristianos
ES,28.0511,-16.7246,Playa de Las Vistas
ES,28.0527,-16.7316,Playa del Camison
ES,28.053,-17.1545,
ES,28.0532,-14.3739,
ES,28.0533,-14.3726,
ES,28.0535,-14.3676,Playa Las Coloradas
ES,28.0538,-15.7392,Playa del Risco
ES,28.0544,-17.1482,
ES,28.0553,-17.1515,Playa de Oroja
ES,28.0577,-16.7365,Playa del Búnker
ES,28.0581,-16.5217,Playa Pelada
ES,28.0585,-15.4173,Playa de La Laja
ES,28.0592,-17.316,Playa de Iguala
ES,28.0593,-16.5206,
ES,28.0612,-16.5161,
ES,28.0619,-16.5159,Playa de la Rajita
ES,28.0621,-16.7341,Playa de las Américas
ES,28.0624,-17.1435,Playa del Cabrito
ES,28.0632,-16.5147,
ES,28.0635,-17.3191,
ES,28.0638,-16.5146,Playa Cumplida
ES,28.0641,-15.731,Playa de Faneroque
ES,28.0648,-16.5127,
ES,28.0653,-16.5121,Playa Cuevas del Trigo
ES,28.0658,-16.5099,
ES,28.0684,-16.7333,Playa de Troya
ES,28.0685,-14.3162,Playa Del Matorral
ES,28.0692,-14.4391,Playa de Juan Gomez
ES,28.0697,-17.3184,Las Salinas
ES,28.0707,-16.7329,
ES,28.0712,-14.4455,Playa de las Pilas
ES,28.072,-16.733,Playa de el Bobo
ES,28.0732,-17.1292,Playa de la Guancha
ES,28.0746,-15.4148,
ES,28.0749,-17.3199,Playa de las Arenas
ES,28.0755,-15.4146,
ES,28.0762,-15.4145,Playa de San Cristóbal
ES,28.0776,-15.4145,
ES,28.0782,-17.3229,Playa de Argaga
ES,28.0799,-16.7355,Playa La Pinta
ES,28.0824,-17.3323,Playa de Vueltas
ES,28.0826,-17.3316,
ES,28.083,-15.4163,La Caleta
ES,28.0838,-14.4926,Playa de los Ojos
ES,28.0852,-16.7377,Playa de Fañabe
ES,28.0857,-17.3373,Charco del Conde
ES,28.0873,-15.709,Guayedra
ES,28.0874,-17.1129,Playa de San Sebastián
ES,28.0895,-17.1105,
ES,28.0896,-17.3398,Playa de La Puntilla
ES,28.0907,-17.1054,Playa de La Cueva
ES,28.0914,-16.7443,Playa El Duque
ES,28.093,-16.748,El Duque Norte
ES,28.0931,-16.4852,
ES,28.0933,-17.3416,Playa La Calera
ES,28.0962,-14.2761,
ES,28.0974,-16.7519,La Enramada
ES,28.0989,-16.7547,
ES,28.099,-16.7563,Playa El Cabezo
ES,28.0995,-16.48,Playa de Las Maretas
ES,28.1006,-15.7097,Playa de las Nieves
ES,28.1007,-16.7555,La Caleta
ES,28.1009,-15.7113,Playa de las Nieves
ES,28.1011,-17.3475,Playa del Inglés
ES,28.1014,-16.4768,
ES,28.1017,-16.7573,El Varadero
ES,28.1026,-14.2712,Playa del Salmo
ES,28.1034,-14.4244,Playa de Roque del Moro
ES,28.1036,-17.1042,
ES,28.1041,-16.4741,
ES,28.1048,-17.3466,
ES,28.1054,-14.2662,
ES,28.106,-15.7111,
ES,28.1066,-15.7109,Playa Las Salinas
ES,28.1071,-16.4729,Playa Callao Hondo
ES,28.1072,-15.7083,
ES,28.1077,-15.7069,
ES,28.1084,-16.472,Playa Tajao
ES,28.1085,-15.7062,Playa La Caleta
ES,28.1086,-16.7612,Playa Diego Hernandez
ES,28.109,-16.4701,
ES,28.1103,-16.7634,
ES,28.1108,-14.2638,Playa Risco del Paso
ES,28.1116,-17.1057,Playa de Ávalo
ES,28.1127,-16.7678,
ES,28.1129,-16.7718,
ES,28.1134,-14.2571,
ES,28.1136,-16.7683,El Puertito
